time,mRNA
0.000, 0
0.005, 0
0.010, 0
0.015, 0
0.020, 0
0.025, 1
0.030, 2
0.035, 2
0.040, 2
0.045, 2
0.050, 2
0.055, 4
0.060, 4
0.065, 4
0.070, 5
0.075, 5
0.080, 5
0.085, 5
0.090, 5
0.095, 5
0.100, 5
0.105, 7
0.110, 7
0.115, 9
0.120, 9
0.125, 10
0.130, 11
0.135, 13
0.140, 15
0.145, 15
0.150, 15
0.155, 15
0.160, 18
0.165, 19
0.170, 19
0.175, 20
0.180, 22
0.185, 22
0.190, 22
0.195, 22
0.200, 22
0.205, 22
0.210, 23
0.215, 23
0.220, 24
0.225, 26
0.230, 24
0.235, 24
0.240, 24
0.245, 24
0.250, 24
0.255, 23
0.260, 23
0.265, 25
0.270, 25
0.275, 25
0.280, 26
0.285, 26
0.290, 29
0.295, 29
0.300, 29
0.305, 31
0.310, 31
0.315, 32
0.320, 32
0.325, 32
0.330, 33
0.335, 34
0.340, 34
0.345, 35
0.350, 38
0.355, 38
0.360, 37
0.365, 36
0.370, 36
0.375, 37
0.380, 38
0.385, 38
0.390, 36
0.395, 37
0.400, 36
0.405, 38
0.410, 39
0.415, 40
0.420, 39
0.425, 39
0.430, 39
0.435, 40
0.440, 40
0.445, 41
0.450, 41
0.455, 41
0.460, 41
0.465, 41
0.470, 42
0.475, 42
0.480, 41
0.485, 40
0.490, 42
0.495, 42
0.500, 41
0.505, 41
0.510, 43
0.515, 44
0.520, 44
0.525, 46
0.530, 46
0.535, 45
0.540, 45
0.545, 45
0.550, 45
0.555, 46
0.560, 45
0.565, 45
0.570, 45
0.575, 47
0.580, 46
0.585, 48
0.590, 48
0.595, 49
0.600, 48
0.605, 49
0.610, 48
0.615, 48
0.620, 47
0.625, 48
0.630, 47
0.635, 46
0.640, 45
0.645, 46
0.650, 47
0.655, 46
0.660, 46
0.665, 46
0.670, 46
0.675, 46
0.680, 45
0.685, 43
0.690, 41
0.695, 42
0.700, 42
0.705, 42
0.710, 42
0.715, 42
0.720, 42
0.725, 44
0.730, 43
0.735, 42
0.740, 42
0.745, 42
0.750, 42
0.755, 42
0.760, 41
0.765, 40
0.770, 39
0.775, 38
0.780, 38
0.785, 38
0.790, 38
0.795, 38
0.800, 40
0.805, 40
0.810, 41
0.815, 42
0.820, 42
0.825, 43
0.830, 44
0.835, 44
0.840, 43
0.845, 43
0.850, 42
0.855, 43
0.860, 44
0.865, 46
0.870, 45
0.875, 45
0.880, 44
0.885, 44
0.890, 43
0.895, 43
0.900, 43
0.905, 42
0.910, 43
0.915, 43
0.920, 43
0.925, 44
0.930, 45
0.935, 45
0.940, 45
0.945, 45
0.950, 47
0.955, 47
0.960, 48
0.965, 50
0.970, 52
0.975, 53
0.980, 53
0.985, 53
0.990, 54
0.995, 54
1.000, 56
1.005, 56
1.010, 56
1.015, 57
1.020, 58
1.025, 59
1.030, 59
1.035, 60
1.040, 60
1.045, 60
1.050, 60
1.055, 60
1.060, 60
1.065, 61
1.070, 61
1.075, 61
1.080, 60
1.085, 60
1.090, 61
1.095, 61
1.100, 62
1.105, 61
1.110, 63
1.115, 63
1.120, 62
1.125, 62
1.130, 62
1.135, 62
1.140, 62
1.145, 64
1.150, 64
1.155, 63
1.160, 65
1.165, 65
1.170, 65
1.175, 64
1.180, 65
1.185, 64
1.190, 64
1.195, 64
1.200, 66
1.205, 65
1.210, 62
1.215, 62
1.220, 64
1.225, 64
1.230, 64
1.235, 64
1.240, 63
1.245, 63
1.250, 63
1.255, 61
1.260, 61
1.265, 60
1.270, 58
1.275, 58
1.280, 58
1.285, 59
1.290, 60
1.295, 60
1.300, 60
1.305, 61
1.310, 61
1.315, 62
1.320, 63
1.325, 63
1.330, 63
1.335, 64
1.340, 65
1.345, 65
1.350, 65
1.355, 66
1.360, 66
1.365, 68
1.370, 68
1.375, 67
1.380, 68
1.385, 70
1.390, 69
1.395, 69
1.400, 69
1.405, 69
1.410, 68
1.415, 67
1.420, 66
1.425, 68
1.430, 68
1.435, 69
1.440, 68
1.445, 68
1.450, 66
1.455, 66
1.460, 68
1.465, 70
1.470, 69
1.475, 70
1.480, 71
1.485, 70
1.490, 72
1.495, 72
1.500, 73
1.505, 74
1.510, 76
1.515, 77
1.520, 77
1.525, 77
1.530, 76
1.535, 77
1.540, 78
1.545, 78
1.550, 78
1.555, 78
1.560, 78
1.565, 78
1.570, 75
1.575, 74
1.580, 73
1.585, 72
1.590, 73
1.595, 73
1.600, 73
1.605, 73
1.610, 73
1.615, 76
1.620, 76
1.625, 78
1.630, 78
1.635, 77
1.640, 79
1.645, 79
1.650, 79
1.655, 77
1.660, 75
1.665, 74
1.670, 74
1.675, 73
1.680, 71
1.685, 71
1.690, 71
1.695, 71
1.700, 72
1.705, 72
1.710, 70
1.715, 70
1.720, 68
1.725, 68
1.730, 69
1.735, 69
1.740, 68
1.745, 68
1.750, 68
1.755, 67
1.760, 67
1.765, 67
1.770, 67
1.775, 68
1.780, 68
1.785, 68
1.790, 68
1.795, 68
1.800, 70
1.805, 68
1.810, 70
1.815, 68
1.820, 68
1.825, 69
1.830, 69
1.835, 69
1.840, 70
1.845, 69
1.850, 69
1.855, 68
1.860, 68
1.865, 67
1.870, 67
1.875, 67
1.880, 66
1.885, 66
1.890, 65
1.895, 65
1.900, 63
1.905, 63
1.910, 63
1.915, 63
1.920, 63
1.925, 63
1.930, 63
1.935, 63
1.940, 62
1.945, 62
1.950, 64
1.955, 65
1.960, 65
1.965, 64
1.970, 64
1.975, 63
1.980, 64
1.985, 64
1.990, 64
1.995, 65
2.000, 62
2.005, 61
2.010, 62
2.015, 62
2.020, 62
2.025, 62
2.030, 62
2.035, 65
2.040, 64
2.045, 64
2.050, 62
2.055, 63
2.060, 63
2.065, 62
2.070, 62
2.075, 63
2.080, 63
2.085, 63
2.090, 63
2.095, 63
2.100, 63
2.105, 63
2.110, 63
2.115, 61
2.120, 62
2.125, 62
2.130, 60
2.135, 60
2.140, 59
2.145, 59
2.150, 59
2.155, 59
2.160, 59
2.165, 60
2.170, 61
2.175, 62
2.180, 61
2.185, 61
2.190, 64
2.195, 65
2.200, 63
2.205, 64
2.210, 64
2.215, 64
2.220, 64
2.225, 64
2.230, 63
2.235, 61
2.240, 61
2.245, 62
2.250, 62
2.255, 64
2.260, 64
2.265, 66
2.270, 65
2.275, 67
2.280, 66
2.285, 64
2.290, 64
2.295, 63
2.300, 61
2.305, 64
2.310, 65
2.315, 65
2.320, 66
2.325, 69
2.330, 69
2.335, 73
2.340, 73
2.345, 74
2.350, 73
2.355, 74
2.360, 74
2.365, 71
2.370, 72
2.375, 72
2.380, 74
2.385, 75
2.390, 75
2.395, 75
2.400, 74
2.405, 72
2.410, 72
2.415, 72
2.420, 72
2.425, 71
2.430, 71
2.435, 71
2.440, 70
2.445, 71
2.450, 72
2.455, 74
2.460, 74
2.465, 74
2.470, 72
2.475, 72
2.480, 73
2.485, 73
2.490, 71
2.495, 70
2.500, 70
2.505, 69
2.510, 71
2.515, 71
2.520, 71
2.525, 71
2.530, 71
2.535, 70
2.540, 70
2.545, 71
2.550, 72
2.555, 72
2.560, 72
2.565, 72
2.570, 72
2.575, 73
2.580, 72
2.585, 71
2.590, 72
2.595, 71
2.600, 72
2.605, 71
2.610, 71
2.615, 71
2.620, 71
2.625, 72
2.630, 72
2.635, 73
2.640, 74
2.645, 74
2.650, 75
2.655, 74
2.660, 74
2.665, 73
2.670, 75
2.675, 75
2.680, 76
2.685, 76
2.690, 76
2.695, 77
2.700, 78
2.705, 78
2.710, 78
2.715, 78
2.720, 78
2.725, 75
2.730, 74
2.735, 74
2.740, 75
2.745, 75
2.750, 75
2.755, 76
2.760, 75
2.765, 74
2.770, 74
2.775, 74
2.780, 74
2.785, 74
2.790, 74
2.795, 76
2.800, 77
2.805, 75
2.810, 74
2.815, 74
2.820, 73
2.825, 74
2.830, 73
2.835, 73
2.840, 73
2.845, 73
2.850, 72
2.855, 72
2.860, 71
2.865, 71
2.870, 70
2.875, 70
2.880, 70
2.885, 71
2.890, 71
2.895, 70
2.900, 69
2.905, 70
2.910, 72
2.915, 72
2.920, 73
2.925, 74
2.930, 74
2.935, 75
2.940, 74
2.945, 75
2.950, 72
2.955, 73
2.960, 74
2.965, 74
2.970, 75
2.975, 75
2.980, 77
2.985, 75
2.990, 74
2.995, 76
3.000, 76
3.005, 76
3.010, 75
3.015, 76
3.020, 76
3.025, 77
3.030, 77
3.035, 79
3.040, 82
3.045, 82
3.050, 83
3.055, 83
3.060, 84
3.065, 84
3.070, 85
3.075, 85
3.080, 84
3.085, 83
